"HADAPSAR - MUNDHWA","","","","","","","",""
"","","","","","","4","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"26A","17-18","74","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","",""
"26A","17-18","75","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","",""
"26C","17-18","76","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","",""
"26C","17-18","77","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","",""
"26C","17-18","78","Jute bags/ cloth/ canvas bags etc.","100,000.00","Bags","No Issue","",""
"23D","17-18","79","Jute bags/ cloth/ canvas bags etc.","100,000.00","Bags","No Issue","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
