"Ward Office Name","Prabhag Name","Prabhag No.","Place","Corporator Name","Gender","Party","Criminal_Records (Yes/No)","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Dhankavadi Ambegaon Pathar","39","C","Tapkir Varsha Vilas","F","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Dhankavadi Ambegaon Pathar","39","D","Tambe Vishal Vilas","M","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Ambegaon Dattanagar Katraj Gaothan","40","A","Beldare Yuvraj Sambhaji","M","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Ambegaon Dattanagar Katraj Gaothan","40","B","Babar Amruta Ajit","F","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Ambegaon Dattanagar Katraj Gaothan","40","C","Kondhare Smita Sudhir","F","","","","","","","","","","","","","","","","","","","",""
"Dhankawadi - Sahakar Nagar Ward Office","Ambegaon Dattanagar Katraj Gaothan","40","D","More Vasant Krushna","M","","","","","","","","","","","","","","","","","","","",""
"Kondhwa - Yewalewadi Ward Office","Kondhwa Budruk Yewalewadi","41","A","Jagtap Virsen Bapu","M","","","","","","","","","","","","","","","","","","","",""
"Kondhwa - Yewalewadi Ward Office","Kondhwa Budruk Yewalewadi","41","B","Thosar Sangeeta Rajendra","F","","","","","","","","","","","","","","","","","","","",""
"Kondhwa - Yewalewadi Ward Office","Kondhwa Budruk Yewalewadi","41","C","Kamthe Vrushali Sunil","F","","","","","","","","","","","","","","","","","","","",""
"Kondhwa - Yewalewadi Ward Office","Kondhwa Budruk Yewalewadi","41","D","Tilekar Ranjana Kundlik","F","","","","","","","","","","","","","","","","","","","",""
"Phursungi-Lohgaon","Phursungi-Lohgaon","42","A","Shri. ganesh Dhore","M","","","","","","","","","","","","","","","","","","","",""
"Phursungi-Lohgaon","Phursungi-Lohgaon","42","B","Smt. Ashwini Kishor Pokale","F","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
